Project ID,Minnesota,International,Birth Year,Verbal SAT,Math SAT,Cumulative GPA,# essays in portfolios,Abroad Credits,AP Credits,CS Credits,English Credits,Science Credits,Writing Credits,Needs Work
901897,-0.519875,-0.261117,-1.63678,-0.91412,-1.5175,-1.08743,0.44733,1.02386,-0.940317,-0.36503,-0.667901,1.35064,-1.12572,1
902002,-0.519875,-0.261117,-0.597199,-2.0168,-1.5175,0.562191,0.44733,-0.735487,-0.940317,-0.36503,-0.427457,0.646037,-0.413941,-1
909728,-0.519875,-0.261117,0.442379,-1.28168,-1.5175,0.53325,-0.866702,-0.735487,-0.940317,-0.36503,-0.427457,1.71704,-0.413941,-1
463555,-0.519875,-0.261117,-0.597199,-0.91412,-1.38493,-1.17426,-0.866702,-0.735487,-0.940317,-0.36503,0.374025,-0.932277,0.297835,1
910685,-0.519875,-0.261117,0.442379,-0.42404,-1.38493,-1.11637,-0.866702,1.41482,-0.940317,-0.36503,2.61817,-0.424961,2.43316,1
912661,-0.519875,-0.261117,0.442379,0.311079,-1.38493,-0.363914,-0.866702,1.70805,1.11526,-0.36503,2.81854,-0.594067,1.72139,1
907879,-0.519875,-0.261117,-0.597199,-0.179001,-1.38493,0.706895,0.44733,-0.735487,-0.940317,0.0298746,-0.187012,-0.424961,-0.413941,-1
914141,-0.519875,-0.261117,1.48196,0.556119,-1.25236,1.02524,0.44733,-0.735487,0.601365,-0.36503,0.293877,-0.14312,1.72139,-1
914560,-0.519875,-0.261117,0.442379,-1.4042,-1.25236,-2.274,-0.866702,-0.735487,-0.940317,-0.36503,-0.427457,-0.763172,-0.413941,1
915161,-0.519875,-0.261117,1.48196,-0.54656,-0.987223,-0.798026,-0.866702,-0.735487,-0.940317,-0.36503,-0.187012,-0.763172,0.297835,1
558725,-0.519875,-0.261117,-0.597199,1.16872,-0.987223,1.16995,1.76136,1.02386,0.601365,-0.36503,3.29943,-0.594067,1.00961,-1
461225,-0.519875,-0.261117,-0.597199,0.801159,-0.854653,-0.392855,0.44733,1.02386,-0.940317,-0.36503,0.774765,-0.594067,0.297835,-1
909720,-0.519875,-0.261117,0.442379,-0.42404,-0.854653,0.677954,0.44733,1.02386,0.0874713,-0.36503,-0.667901,-0.932277,-0.413941,1
915189,-0.519875,-0.261117,1.48196,-1.03664,-0.854653,-2.73706,0.44733,-0.735487,-0.940317,-0.36503,-0.187012,-0.763172,0.297835,1
741341,-0.519875,-0.261117,-1.63678,-1.28168,-0.854653,0.649013,-0.866702,0.828376,0.0874713,0.0298746,-0.187012,-0.594067,-0.413941,-1
910741,-0.519875,-0.261117,0.442379,-2.0168,-0.589513,-1.52155,-0.866702,0.241927,-0.940317,0.0298746,0.0534321,-0.594067,1.00961,1
909681,-0.519875,-0.261117,-0.597199,-0.66908,-0.589513,-0.97167,-0.866702,-0.735487,-0.426423,-0.36503,-0.187012,-0.763172,0.297835,-1
679470,-0.519875,-0.261117,-0.597199,0.311079,-0.456943,1.08312,0.44733,-0.735487,0.601365,-0.36503,-0.427457,1.71704,-0.413941,-1
909763,-0.519875,-0.261117,-0.597199,-0.179001,-0.456943,-1.63731,1.76136,-0.735487,-0.940317,-0.36503,1.25565,-0.594067,2.43316,1
909763,-0.519875,-0.261117,-0.597199,-0.179001,-0.456943,-1.63731,1.76136,-0.735487,-0.940317,-0.36503,1.25565,-0.594067,2.43316,1
914928,-0.519875,-0.261117,1.48196,0.311079,-0.324373,0.185961,0.44733,0.43741,0.0874713,0.0298746,-0.187012,-0.199488,0.297835,-1
685273,-0.519875,-0.261117,-0.597199,1.29124,-0.324373,0.0123165,0.44733,0.828376,0.0874713,-0.36503,-0.427457,1.29427,0.297835,1
912798,-0.519875,-0.261117,1.48196,1.53628,-0.324373,0.185961,0.44733,-0.735487,0.0874713,0.0298746,-0.427457,-0.0867513,-0.413941,-1
