username	main	talk	user	usertalk
Bonebreaker1238	2	0	2	0
Boneless.india	1	0	0	0
Bookiemonster	1	0	0	0
Bookshelf000	12	0	0	0
Bookwormkim	2	0	1	0
Bootsdarling	1	0	0	0
Born2bking	3	0	0	0
Bornstein	9	3	0	0
Bowtomurder	3	0	0	0
BraedonRPaul	1	0	0	4
Brandizzo	11	0	0	0
Brathjana	1	0	0	0
Braystreet	7	0	0	1
Braziliandude	1	0	0	0
Breakfan09	4	0	0	0
Brendan Croskery	1	0	0	0
BretCahill	2	0	0	0
Brettmosleymaui	1	0	0	0
Brian556	1	0	0	0
Bristus	2	7	0	0
Britheguy	2	0	0	0
Brm98	2	0	0	0
Broccolipie	1	0	0	0
Brodens	19	0	0	1
BroJohnE	4	2	1	2
Brouillards	1	0	0	0
BruceHoag	3	0	0	0
Brunocmsb	1	0	4	0
Bt noy	46	0	0	0
Btonal	1	1	1	0
Btsp0001	1	0	0	0
Bubbamalone	4	0	0	0
Bucsrock413	1	0	0	0
Bulakhiro	1	0	0	0
Bullcaden	3	0	0	0
Bumface465456	1	0	0	0
Bursh69	59	0	0	0
Buspar	74	4	0	11
Bustercooley	1	0	0	0
Buyout	1	0	0	0
Bwilkins	2325	165	337	916
Bww23	1	0	0	0
Bycuspidd	4	0	0	0
Cabelguy	2	0	0	0
Cactusthesaint	1	0	0	0
Cadieuxr	1	0	0	0
Caenos	3	0	0	0
CaffeineJunkie	1	0	0	0
CalebCass1	10	1	0	0
Calikeo	1	0	0	0
CallerNJ	2	0	0	0
Cameron.musco	1	0	0	0
Camerondavidson	1	0	0	0
Cami2349	5	0	0	0
Candle in the wind '97	1	0	0	0
Capeterson18	1	0	0	0
Caphwys	1	0	0	0
Capriugm	32	0	9	0
CaptainCUSI	3	0	0	0
Cardinalheard3725	3	0	0	0
Carelly	1	0	0	0
Carl simons	2	0	0	0
Carlheuss	1	0	0	0
CarlosLB	2	0	0	0
Carrywatch117	1	0	0	0
Carterobs	3	0	0	0
Carvel508	1	0	0	0
Caseyalt	4	0	0	0
CasioBillabong	3	0	0	0
Caslusfilho	24	13	0	1
Castleofdoom	1	0	0	0
Cautionarynote	1	0	0	0
Caylays wrath	2	0	2	1
Caziman	1	0	0	0
CazmoV	2	0	0	0
Cbustapeck	1	0	0	0
CChalupa	6	0	0	0
Ccolelewis	1	0	0	0
Cctt24	6	0	0	0
Cdog77	1	0	0	0
Ced64k	19	0	0	3
Cederik	11	7	0	0
Cedriccarterymaildotcom	1	0	0	0
Ceepster	1	0	0	0
Celebritny	3	0	0	0
Cerreno	3	0	1	0
Cfoss93	2	0	0	0
Cg29692	1749	9	0	3
Cgfox11	1	0	0	0
Chaingangsolider76	258	0	2	7
Chardshin	4	0	0	0
Charles Brooking	21	2	0	0
CharlesFing	4	0	0	0
Charliep8	9	0	0	0
Chaswicki	8	0	0	0
ChaTo	15	3	1	1
Chaver83	29	1	0	0
Chazster	4	0	0	0
Chazzerguy	30	0	0	0
Cheapwt	12	0	0	0
Cheat2win	32	0	6	1
Cheesetits	3	0	1	0
ChemicalRed	1	0	0	0
ChibiStar	1	0	0	0
Chicago bar	12	0	0	0
Chimchimchimeneychimchimcheroo	3	0	0	0
Chitikesi	1	0	0	0
Chloe51491	3	0	0	0
ChodeMaster90210	1	0	0	0
Chopinfan	2	0	0	0
Chos13	5	0	0	0
ChriKo	66	5	0	0
Chris fardon	1258	0	0	0
ChrisB1993	1	0	0	0
Chriscast	1	0	0	0
Chrisco153	1	0	0	2
ChrisTaylorNYC	111	6	0	0
Christinedaaephan135	1	0	0	0
Christopher1968	70	0	0	0
Christophersummerfield	1	1	0	0
Christopherwilliambarry	2	0	0	0
Christy78	1	0	0	0
Chukar hunter	2	0	0	0
Chukyruckspin	9	0	0	1
Cicero001	2	0	0	0
Cidius	1	0	0	0
CircGal	3	0	0	0
Cjoycedw	12	2	0	0
CJRoger	1	0	0	0
CKboarderX212	5	0	0	1
Claireb9856	1	0	0	0
Clash1976	3	0	0	0
Classicdadman	2	0	0	0
Clayton2001	5	0	0	0
Clerkwh	39	1	0	0
CLHS3300	2	0	0	0
Clubguppy	6	0	0	0
Cm371	2	0	0	0
Cmartell	1	0	0	0
Cmriley	7	1	0	0
Cmulley	2	0	0	0
Cmusic10	19	0	0	0
Coatesville	5	0	0	0
Cobandit	2	0	0	0
Coda1229	3	0	0	0
Coleman916	14	0	0	0
Colinzeal	4	0	0	0
Colleeninches	1	0	0	0
Competentum	1	0	0	0
Comptearnau	1	0	0	0
Computerquip	9	0	3	0
Conor123777	2	0	0	0
Coolfizzr	4	0	0	0
Coolmoon100	2	0	0	0
Cornishjack	1	0	0	0
Corwin7	1	0	0	0
Cosimo19	3	0	0	0
Costaricavacations	1	1	0	0
Cowreaper99	2	0	0	0
CraigCanberra	9	0	0	0
Craiger83	1	0	0	0
Craigsanphy	1	0	0	0
Craigt1983	2	0	0	0
Crateengine	8	0	0	0
Crazieness	1	0	0	0
Crazy ace 77	14	2	0	3
Crazybluefizz	3	0	0	0
Crazyecho323	1	0	0	0
Crazyhorse323	3	0	0	0
Crispus	59	0	0	0
CronopioFlotante	420	39	128	51
Crptosporidium	2	0	0	0
Cruddas	1	0	0	0
Csbn	13	0	0	0
Csfriedman	2	0	0	0
Csu1248	1	0	0	0
Cugel1111	3	0	0	0
Custa3000	8	0	0	0
Cute1340	1	0	0	0
Cvroxanne	1	0	0	0
Cyberia23	1729	122	11	130
Cyberlaw 2009	70	0	0	0
Апельсинчик)	4	0	0	0
Алексей Скрипник	4	0	0	1
Женя Шулепов	8	0	0	0
D.M.DemonicPanda	1	0	0	0
Сергей Шумаков	13	0	0	0
Феникс	1	0	0	0
D3d3d3	1	0	0	0
D9qhd8	5	0	0	0
Dacj40	25	0	1	0
DaHot	4	0	2	6
Dakotagirl1022	1	0	0	0
Dalejordanjohnson	2	0	0	0
Dallas aztx	1	0	0	0
Damage00	1	0	0	0
Damianfossi	2	0	0	0
Damiendublin1	1	0	0	0
Damos247	4	0	0	0
Damski66	7	0	0	0
Dangrand	15	0	0	0
Daniel Polehn	1	0	0	0
Daniel.hepple	2	0	0	0
Danielberggren	4	0	0	0
Dannyboybilly	5	2	0	0
DannyFaQ	1	0	0	0
Dantelives	2	1	0	0
Danwins	1	0	0	0
Dark18	1	0	0	0
Darkcry94 chopper	7	0	0	0
Darrenjolley	333	1	0	1
Darrinred	1	0	0	0
Darshan09	1	0	0	0
DarthSkygrinder	2	0	0	0
Dathusky	9	0	0	0
Daved123	1	0	0	0
Davedudhill	1	0	0	0
David Beals	86	7	0	39
David D.	266	196	1	118
David longberry	1	0	0	0
David Robins	51	1	0	0
David Shepheard	16	8	1	8
Davidlanger	2	0	0	0
